Data,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Data analyst,,Analytical and problem-solving skills,Communication skills,Data management,"Data modelling, data cleansing, and data enrichment skills",Data visualisation,Logical and creative thinking skills,Project management skills,Proven IT and mathematical skills,"Quality assurance, validation and data linkage abilities",Statistical methods and data analysis skills,,,,,,,"A data analyst collects, organises and studies data to provide business insight. In this role, you will:

• apply tools and techniques for data analysis and data visualisation (including the use of business information tools)
• identify, collect and migrate data to and from a range of systems
• manage, clean, abstract and aggregate data alongside a range of analytical studies on that data
• manipulate and link different data sets
• summarise and present data and conclusions in the most appropriate format for users",,,,,,,,
,,Associate analyst,Awareness,Awareness,Awareness,Awareness,Awareness,Awareness,Awareness,Awareness,Awareness,Awareness,,,,,,,No separate description for this level,,1,,AUTY(1),INFL(1),COMP(1),KNGE(1),BUSS(1)
,,Data analyst,Working,Working,Working,Working,Working,Working,Working,Working,Working,Working,,,,,,,No separate description for this level,,3,,AUTY(3),INFL(3),COMP(3),KNGE(3),BUSS(3)
,,Senior data analyst,Practitioner,Practitioner,Practitioner,Practitioner,Practitioner,Practitioner,Practitioner,Practitioner,Practitioner,Practitioner,,,,,,,No separate description for this level,,4,,AUTY(4),INFL(4),COMP(4),KNGE(4),BUSS(4)
,,Principal data analyst,Expert,Expert,Expert,Expert,Expert,Expert,Expert,Expert,Expert,Expert,,,,,,,No separate description for this level,,5,,AUTY(5),INFL(5),COMP(5),KNGE(5),BUSS(5)
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Data engineer,,Communication skills (data),Data analysis and synthesis,Data development process,Data innovation,Data integration design,Data modelling,Metadata management,Problem resolution (data),Programming and build (data engineering),Technical understanding (data engineering),Testing,,,,,,A data engineer develops and constructs data products and services and integrates them into systems and business processes.,,,,,,,,
,,Data engineer,Awareness,Working,Working,Awareness,Working,Working,Working,Awareness,Working,Working,Awareness,,,,,,"A data engineer delivers the designs set by more senior members of the data engineering community.

At this level, you will be expected to:

• implement data flows to connect operational systems, data for analytics and business intelligence (BI) systems
• document source-to-target mappings
• re-engineer manual data flows to enable scaling and repeatable use
• support the build of data streaming systems
• write ETL scripts and code to make sure the ETL process performs optimally
• develop business intelligence reports that can be re-used
• build accessible data for analysis",,3,,AUTY(3),INFL(3),COMP(3),KNGE(3),BUSS(3)
,,Senior data engineer,Working,Working,Practitioner,Working,Practitioner,Practitioner,Practitioner,Working,Practitioner,Working,Working,,,,,,"A senior data engineer designs and leads the implementation of data flows to connect operational systems, data for analytics and business intelligence (BI) systems.

At this level, you will:

• recognise opportunities to re-use existing data flows
• lead the build of data streaming systems
• optimise the code to ensure processes perform optimally
• lead work on database management",,4,,AUTY(4),INFL(4),COMP(4),KNGE(4),BUSS(4)
,,Lead data engineer,Practitioner,Practitioner,Expert,Practitioner,Expert,Expert,Practitioner,Practitioner,Practitioner,Practitioner,Working,,,,,,"A lead data engineer is responsible for the design and implementation of numerous complex data flows to connect operational systems, data for analytics and business intelligence (BI) systems.

At this level, you will:

• recognise and share opportunities to re-use existing data flows between their teams
• be responsible for the build of data-streaming systems
• coordinate teams and set best practice and standards
• apply knowledge of systems integration to their work
• champion data engineering across government",,5,,AUTY(5),INFL(5),COMP(5),KNGE(5),BUSS(5)
,,Head of data engineering,Expert,Practitioner,Expert,Expert,Expert,Working,Expert,Expert,Expert,Expert,Working,,,,,,"A head of data engineering leads multi-functional delivery teams to deliver robust data services for their department, other government departments and private sector partners. At this level, you will:

• inspire best practice for data products and services within your teams
• build data engineering capability by providing technical leadership and career development for the community
• work with other senior team members to identify, plan, develop and deliver data services",,6,,AUTY(6),INFL(6),COMP(6),KNGE(6),BUSS(6)
